成语5000,,,,
,恍然大悟,,,
,挥斥方遒,,,
,挥洒自如,,,
,麾军南下,,,
,回光返照,,,
,绘声绘色,,,
,绘声绘色,,,
,诲人不倦,,,
,诲人不倦,,,
,诲人不倦,,,
,诲人不倦,,,
,浑浑噩噩,,,
,浑浑噩噩,,,
,浑浑噩噩,,,
,魂牵梦萦,,,
,混水摸鱼,,,
,混水摸鱼,,,
,混水摸鱼,,,
,混为一谈,,,
,豁然贯通,,,
,豁然开朗,,,
,豁然开朗,,,
,豁然开朗,,,
,豁然开朗,,,
,火中取栗,,,
,火中取栗,,,
,火中取栗,,,
,火中取栗,,,
,火中取栗,,,
,火中取栗,,,
,⽕中取栗,,,
,火中取栗,,,
,祸不单行,,,
,祸起萧墙,,,
,祸起萧墙,,,
,祸起萧墙,,,
,蠖屈求伸,,,
,饥肠辘辘,,,
,饥肠辘辘,,,
,饥肠辘辘,,,
,鸡犬桑麻,,,
,鸡犬相闻,,,
,积毁销骨,,,
,积羽沉舟,,,
,跻身十强,,,
,及笄之年,,,
,岌岌可危,,,
,佶屈聱牙,,,
,佶屈聱牙,,,
,急不暇择,,,
,急于求成,,,
,疾恶如仇,,,
,疾首蹙额,,,
,集腋成裘,,,
,掎角之势,,,
,计日程功,,,
,计日程功,,,
,既往不咎,,,
,既往不咎,,,
,既往不咎,,,
,寄人篱下,,,
,寄人篱下,,,
,祭出撒手锏,,,
,骥伏盐车,,,
,家喻户晓,,,
,家喻户晓,,,
,家喻户晓,,,
,家喻户晓,,,
,戛然而止,,,
,尖嘴猴腮,,,
,尖嘴猴腮,,,
,尖嘴猴腮,,,
,坚持不懈,,,
,坚如磐石,,,
,间不容发,,,
,间不容发,,,
,间不容发,,,
,间不容发,,,
,肩摩毂击,,,
,剪发杜门,,,
,简而言之,,,
,见分晓,,,
,见解深邃,,,
,见仁见智,,,
,见仁见智,,,
,见仁见智,,,
,见异思迁,,,
,见异思迁,,,
,见异思迁,,,
,剑拔弩张,,,
,箭在弦上,,,
,江东父老,,,
,江东父老,,,
,江东父老,,,
,江东父老,,,
,江东父老,,,
,江东父老,,,
,江河日下,,,
,江河日下,,,
,江郎才尽,,,
,江郎才尽,,,
,匠心独运,,,
,交头接耳,,,
,交头接耳,,,
,焦头烂额,,,
,矫揉造作,,,
,教学相长,,,
,接踵而至,,,
,嗟来之食,,,
,孑然一身,,,
,结草衔环,,,
,结发夫妻,,,
,截然不同,,,
,截然不同,,,
,截然不同,,,
,竭尽全力,,,
,竭泽而渔,,,
,金榜题名,,,
,金碧辉煌,,,
,金刚怒目,,,
,金刚怒目,,,
,金刚怒目,,,
,金戈铁马,,,
,金玉其外，,,,
,津津乐道,,,
,襟怀坦白,,,
,尽善尽美,,,
,谨小慎微,,,
,进退维谷,,,
,进贤屏恶,,,
,噤若寒蝉,,,
,噤若寒蝉,,,
,噤若寒蝉,,,
,噤若寒蝉,,,
,噤若寒蝉,,,
,泾渭分明,,,
,泾渭分明,,,
,泾渭分明,,,
,经世奇才,,,
,惊慌失措,,,
,惊魂甫定,,,
,惊世骇俗,,,
,惊世骇俗,,,
,惊世骇俗,,,
,惊世骇俗,,,
,惊世骇俗,,,
,惊天动地,,,
,惊心动魄,,,
,晶莹剔透,,,
,兢兢业业,,,
,兢兢业业,,,
,兢兢业业,,,
,精兵简政,,,
,精疲力竭,,,
,精疲力尽,,,
,精益求精,,,
,精益求精,,,
,净心涤虑,,,
,敬谢不敏,,,
,敬谢不敏,,,
,敬谢不敏,,,
,敬谢不敏,,,
,敬谢不敏,,,
,敬谢不敏,,,
,迥乎不同,,,
,鸠占鹊巢,,,
,鸠占鹊巢,,,
,鸠占鹊巢,,,
,鸠占鹊巢,,,
,鸠占鹊巢,,,
,九死不悔,,,
,久假不归,,,
,久假不归,,,
,灸艾分痛,,,
,酒阑灯炧,,,
,咎由自取,,,
,鞠躬尽瘁,,,
,鞠躬尽瘁,,,
,鞠躬尽瘁,,,
,举案齐眉,,,
,举一反三,,,
,举一反三,,,
,举一反三,,,
,举重若轻,,,
,举足轻重,,,
,屦贱踊贵,,,
,涓涓细流,,,
,厥功甚伟,,,
,开卷有益,,,
,开门揖盗,,,
,开门揖盗,,,
,开门揖盗,,,
,开天辟地,,,
,开柙出虎,,,
,侃侃而谈,,,
,侃侃而谈,,,
,侃侃而谈,,,
,侃侃而谈,,,
,侃侃而谈,,,
,侃侃而谈,,,
,侃侃而谈,,,
,慷慨解囊,,,
,慷慨淋漓,,,
,亢龙有悔,,,
,亢龙有悔,,,
,亢龙有悔,,,
,苛捐杂税,,,
,可歌可泣,,,
,可歌可泣,,,
,可望而不可及,,,
,刻舟求剑,,,
,恪尽职守,,,
,恪尽职守,,,
,空穴来风,,,
,空穴来风,,,
,空穴来风,,,
,空穴来风,,,
,口耳相传,,,
,口耳相传,,,
,口耳相传,,,
,口若悬河,,,
,苦心孤诣,,,
,夸夸其谈,,,
,夸夸其谈,,,
,夸夸其谈,,,
,脍炙人口,,,
,脍炙人口,,,
,脍炙人口,,,
,脍炙人口,,,
,脍炙人口,,,
,狂风骤雨,,,
,狂妄自大,,,
,狂妄恣睢,,,
,揆情度理,,,
,跬步千里,,,
,跬步千里,,,
,跬步千里,,,
,昆弟之好,,,
,来日方长,,,
,揽辔登车,,,
,狼心狗肺,,,
,琅琅上口,,,
,琅琅上口,,,
,琅琅上口,,,
,劳而无功,,,
,劳苦功高,,,
,劳燕分飞,,,
,劳燕分飞,,,
,唠唠叨叨,,,
,老当益壮,,,
,老妪能解,,,
,了如指掌,,,
,雷霆万钧,,,
,泪眼婆娑,,,
,累死累活,,,
,棱角分明,,,
,棱角分明,,,
,离群索居,,,
,礼尚往来,,,
,礼尚往来,,,
,李代桃僵,,,
,李代桃僵,,,
,李代桃僵,,,
,理不胜辞,,,
,理所当然,,,
,力能扛鼎,,,
,力挽狂澜,,,
,力挽狂澜,,,
,历历在目,,,
,历历在目,,,
,厉兵秣马,,,
,励精图治,,,
,沥尽心血,,,
,连绵不断,,,
,恋恋不舍,,,
,良莠不齐,,,
,良莠不齐,,,
,良莠不齐,,,
,两鬓苍苍,,,
,两肋插刀,,,
,两小无猜,,,
,聊以慰藉,,,
,林林总总,,,
,林林总总,,,
,林林总总,,,
,临川羡鱼,,,
,临川羡鱼,,,
,临川羡鱼,,,
,淋漓尽致,,,
,淋漓尽致,,,
,琳琅满目,,,
,鳞次栉比,,,
,伶牙俐齿,,,
,灵机一动,,,
,羚羊挂角,,,
,羚羊挂角,,,
,令人发指,,,
,令人发指,,,
,令人发指,,,
,另请高明,,,
,流毒无穷,,,
,流水潺潺,,,
,柳暗花明,,,
,龙蛇混杂,,,
,龙蛇混杂,,,
,龙蛇混杂,,,
,庐山真面目,,,
,陆海潘江,,,
,鹿死谁手,,,
,鹿死谁手,,,
,路人皆知,,,
,路有饿殍,,,
,路有饿殍,,,
,屡试不爽,,,
,屡试不爽,,,
,屡试不爽,,,
,屡试不爽,,,
,屡试不爽,,,
